plate_number,well_row,well_column,marker_symbol,mgi_gene_id,entrez_id,gene_product
53,B,4,P2ry6,MGI:2673874,233571,"pyrimidinergic receptor P2Y, G-protein coupled, 6"
53,B,6,Olfr593,MGI:3030427,258378,olfactory receptor family 52 subfamily S member 1
53,B,8,Olfr593,MGI:3030427,258378,olfactory receptor family 52 subfamily S member 1
53,B,10,Olfr612,MGI:3030446,545985,olfactory receptor family 51 subfamily AA member 2
53,B,12,Olfr612,MGI:3030446,545985,olfactory receptor family 51 subfamily AA member 2
53,B,14,Olfr676,MGI:3030510,259099,olfactory receptor family 52 subfamily E member 7
53,B,16,Olfr676,MGI:3030510,259099,olfactory receptor family 52 subfamily E member 7
53,B,18,Olfr508,MGI:3030342,258769,olfactory receptor family 5 subfamily P member 80
53,B,20,Olfr508,MGI:3030342,258769,olfactory receptor family 5 subfamily P member 80
53,B,22,Olfr657,MGI:3030491,258309,olfactory receptor family 56 subfamily B member 1
53,B,24,Olfr657,MGI:3030491,258309,olfactory receptor family 56 subfamily B member 1
53,D,2,Olfr486,MGI:3030320,258489,olfactory receptor family 5 subfamily P member 62
53,D,4,Olfr486,MGI:3030320,258489,olfactory receptor family 5 subfamily P member 62
53,D,6,Olfr509,MGI:3030343,258369,olfactory receptor family 10 subfamily AB member 5
53,D,8,Olfr509,MGI:3030343,258369,olfactory receptor family 10 subfamily AB member 5
53,D,10,Olfr551,MGI:3030385,258750,olfactory receptor family 52 subfamily P member 2
53,D,12,Olfr551,MGI:3030385,258750,olfactory receptor family 52 subfamily P member 2
53,D,14,Olfr572,MGI:3030406,259093,olfactory receptor family 51 subfamily H member 5
53,D,16,Olfr572,MGI:3030406,259093,olfactory receptor family 51 subfamily H member 5
53,D,18,Olfr599,MGI:3030433,258726,olfactory receptor family 52 subfamily AB member 4
53,D,20,Olfr599,MGI:3030433,258726,olfactory receptor family 52 subfamily AB member 4
53,D,22,Olfr615,MGI:3030449,259084,olfactory receptor family 51 subfamily AH member 3
53,D,24,Olfr615,MGI:3030449,259084,olfactory receptor family 51 subfamily AH member 3
53,F,2,Olfr64,MGI:1341900,18366,olfactory receptor family 51 subfamily B member 17
53,F,4,Olfr64,MGI:1341900,18366,olfactory receptor family 51 subfamily B member 17
53,F,6,Olfr658,MGI:3030492,259051,olfactory receptor family 52 subfamily N member 4
